nobs,Date,Heure,Consommation (MW),Année
52609,2011-01-01,00:00,71233.83,2011
52610,2011-01-01,00:30,70671.01,2011
52611,2011-01-01,01:00,68887.276,2011
52612,2011-01-01,01:30,69044.871,2011
52613,2011-01-01,02:00,68830.406,2011
52614,2011-01-01,02:30,68143.106,2011
52615,2011-01-01,03:00,65949.627,2011
52616,2011-01-01,03:30,64342.793,2011
52617,2011-01-01,04:00,62676.421,2011
52618,2011-01-01,04:30,61566.771,2011
52619,2011-01-01,05:00,60505.661,2011
52620,2011-01-01,05:30,60248.534,2011
52621,2011-01-01,06:00,59779.128,2011
52622,2011-01-01,06:30,59457.525,2011
52623,2011-01-01,07:00,59204.715,2011
52624,2011-01-01,07:30,59280.524,2011
52625,2011-01-01,08:00,59482.966,2011
52626,2011-01-01,08:30,59334.239,2011
52627,2011-01-01,09:00,59414.027,2011
52628,2011-01-01,09:30,60203.061,2011
52629,2011-01-01,10:00,61237.797,2011
52630,2011-01-01,10:30,62289.404,2011
52631,2011-01-01,11:00,63297.368,2011
52632,2011-01-01,11:30,64501.965,2011
52633,2011-01-01,12:00,65270.676,2011
52634,2011-01-01,12:30,66871.22,2011
52635,2011-01-01,13:00,68394.722,2011
52636,2011-01-01,13:30,67158.297,2011
52637,2011-01-01,14:00,65887.487,2011
52638,2011-01-01,14:30,65231.52,2011
52639,2011-01-01,15:00,63929.657,2011
52640,2011-01-01,15:30,63437.884,2011
52641,2011-01-01,16:00,62991.167,2011
52642,2011-01-01,16:30,63066.64,2011
52643,2011-01-01,17:00,63623.446,2011
52644,2011-01-01,17:30,65867.234,2011
52645,2011-01-01,18:00,68327.357,2011
52646,2011-01-01,18:30,69572.484,2011
52647,2011-01-01,19:00,70583.753,2011
52648,2011-01-01,19:30,71023.817,2011
52649,2011-01-01,20:00,70926.37,2011
52650,2011-01-01,20:30,70531.764,2011
52651,2011-01-01,21:00,69433.387,2011
52652,2011-01-01,21:30,68256.592,2011
52653,2011-01-01,22:00,67220.526,2011
52654,2011-01-01,22:30,68286.882,2011
52655,2011-01-01,23:00,70497.342,2011
52656,2011-01-01,23:30,69320.213,2011
52657,2011-01-02,00:00,69061.733,2011
52658,2011-01-02,00:30,67537.066,2011
52659,2011-01-02,01:00,65099.165,2011
52660,2011-01-02,01:30,65152.437,2011
52661,2011-01-02,02:00,64784.669,2011
52662,2011-01-02,02:30,64477.7,2011
52663,2011-01-02,03:00,62594.454,2011
52664,2011-01-02,03:30,61319.182,2011
52665,2011-01-02,04:00,60083.692,2011
52666,2011-01-02,04:30,59489.446,2011
52667,2011-01-02,05:00,59038.268,2011
52668,2011-01-02,05:30,59242.519,2011
52669,2011-01-02,06:00,59311.872,2011
52670,2011-01-02,06:30,59885.191,2011
52671,2011-01-02,07:00,60102.827,2011
52672,2011-01-02,07:30,60694.8,2011
52673,2011-01-02,08:00,61488.202,2011
52674,2011-01-02,08:30,62046.866,2011
52675,2011-01-02,09:00,62745.526,2011
52676,2011-01-02,09:30,64082.49,2011
52677,2011-01-02,10:00,65358.78,2011
52678,2011-01-02,10:30,66615.349,2011
52679,2011-01-02,11:00,67510.33,2011
52680,2011-01-02,11:30,68298.854,2011
52681,2011-01-02,12:00,68953.791,2011
52682,2011-01-02,12:30,70386.493,2011
52683,2011-01-02,13:00,71298.904,2011
52684,2011-01-02,13:30,69652.374,2011
52685,2011-01-02,14:00,67996.581,2011
52686,2011-01-02,14:30,67076.009,2011
52687,2011-01-02,15:00,65682.719,2011
52688,2011-01-02,15:30,65029.68,2011
52689,2011-01-02,16:00,64395.134,2011
52690,2011-01-02,16:30,64602.588,2011
52691,2011-01-02,17:00,65452.609,2011
52692,2011-01-02,17:30,68478.185,2011
52693,2011-01-02,18:00,71935.016,2011
52694,2011-01-02,18:30,73961.525,2011
52695,2011-01-02,19:00,75665.335,2011
52696,2011-01-02,19:30,75998.684,2011
52697,2011-01-02,20:00,75851.257,2011
52698,2011-01-02,20:30,74971.828,2011
52699,2011-01-02,21:00,73480.39,2011
52700,2011-01-02,21:30,71938.445,2011
52701,2011-01-02,22:00,70788.482,2011
52702,2011-01-02,22:30,71379.983,2011
52703,2011-01-02,23:00,73373.648,2011
52704,2011-01-02,23:30,72137.902,2011
52705,2011-01-03,00:00,71897.019,2011
52706,2011-01-03,00:30,70482.78,2011
52707,2011-01-03,01:00,68325.017,2011
52708,2011-01-03,01:30,68627.616,2011
52709,2011-01-03,02:00,68693.743,2011
52710,2011-01-03,02:30,68715.381,2011
52711,2011-01-03,03:00,67143.134,2011
52712,2011-01-03,03:30,66037.878,2011
52713,2011-01-03,04:00,65139.7,2011
52714,2011-01-03,04:30,65111.597,2011
52715,2011-01-03,05:00,65670.985,2011
52716,2011-01-03,05:30,67452.56,2011
52717,2011-01-03,06:00,69322.999,2011
52718,2011-01-03,06:30,72852.885,2011
52719,2011-01-03,07:00,76563.356,2011
52720,2011-01-03,07:30,80149.567,2011
52721,2011-01-03,08:00,82446.903,2011
52722,2011-01-03,08:30,83220.863,2011
52723,2011-01-03,09:00,83325.904,2011
52724,2011-01-03,09:30,83775.358,2011
52725,2011-01-03,10:00,84027.262,2011
52726,2011-01-03,10:30,83936.022,2011
52727,2011-01-03,11:00,83876.108,2011
52728,2011-01-03,11:30,84202.11,2011
52729,2011-01-03,12:00,84383.628,2011
52730,2011-01-03,12:30,84010.151,2011
52731,2011-01-03,13:00,84524.089,2011
52732,2011-01-03,13:30,83465.304,2011
52733,2011-01-03,14:00,82874.924,2011
52734,2011-01-03,14:30,82485.551,2011
52735,2011-01-03,15:00,80758.704,2011
52736,2011-01-03,15:30,80100.228,2011
52737,2011-01-03,16:00,79664.603,2011
52738,2011-01-03,16:30,79702.434,2011
52739,2011-01-03,17:00,80716.11,2011
52740,2011-01-03,17:30,83650.66,2011
52741,2011-01-03,18:00,87003.188,2011
52742,2011-01-03,18:30,88020.713,2011
52743,2011-01-03,19:00,89498.326,2011
52744,2011-01-03,19:30,88471.621,2011
52745,2011-01-03,20:00,86671.54,2011
52746,2011-01-03,20:30,84610.805,2011
52747,2011-01-03,21:00,82317.034,2011
52748,2011-01-03,21:30,80218.546,2011
52749,2011-01-03,22:00,78181.078,2011
52750,2011-01-03,22:30,78450.305,2011
52751,2011-01-03,23:00,80072.23,2011
52752,2011-01-03,23:30,78674.66,2011
52753,2011-01-04,00:00,78508.828,2011
52754,2011-01-04,00:30,76712.285,2011
52755,2011-01-04,01:00,74312.857,2011
52756,2011-01-04,01:30,74465.531,2011
52757,2011-01-04,02:00,74198.637,2011
52758,2011-01-04,02:30,74195.692,2011
52759,2011-01-04,03:00,72428.474,2011
52760,2011-01-04,03:30,71159.563,2011
52761,2011-01-04,04:00,70052.378,2011
52762,2011-01-04,04:30,69909.017,2011
52763,2011-01-04,05:00,70131.284,2011
52764,2011-01-04,05:30,71941.446,2011
52765,2011-01-04,06:00,73885.132,2011
52766,2011-01-04,06:30,77548.457,2011
52767,2011-01-04,07:00,81179.411,2011
52768,2011-01-04,07:30,84976.205,2011
52769,2011-01-04,08:00,87181.036,2011
52770,2011-01-04,08:30,87715.78,2011
52771,2011-01-04,09:00,87740.569,2011
52772,2011-01-04,09:30,88077.99,2011
52773,2011-01-04,10:00,88212.855,2011
52774,2011-01-04,10:30,87966.101,2011
52775,2011-01-04,11:00,87705.33,2011
52776,2011-01-04,11:30,88159.451,2011
52777,2011-01-04,12:00,88303.032,2011
52778,2011-01-04,12:30,87654.231,2011
52779,2011-01-04,13:00,88148.539,2011
52780,2011-01-04,13:30,87070.056,2011
52781,2011-01-04,14:00,86358.169,2011
52782,2011-01-04,14:30,86108.597,2011
52783,2011-01-04,15:00,84653.391,2011
52784,2011-01-04,15:30,83791.788,2011
52785,2011-01-04,16:00,83405.897,2011
52786,2011-01-04,16:30,83417.122,2011
52787,2011-01-04,17:00,84320.733,2011
52788,2011-01-04,17:30,86810.843,2011
52789,2011-01-04,18:00,89577.721,2011
52790,2011-01-04,18:30,90594.422,2011
52791,2011-01-04,19:00,91821.304,2011
52792,2011-01-04,19:30,90669.837,2011
52793,2011-01-04,20:00,88878.516,2011
52794,2011-01-04,20:30,86586.657,2011
52795,2011-01-04,21:00,84052.848,2011
52796,2011-01-04,21:30,81786.755,2011
52797,2011-01-04,22:00,79995.107,2011
52798,2011-01-04,22:30,80119.345,2011
52799,2011-01-04,23:00,81749.212,2011
52800,2011-01-04,23:30,80214.178,2011
52801,2011-01-05,00:00,79952.876,2011
52802,2011-01-05,00:30,78121.348,2011
52803,2011-01-05,01:00,75826.462,2011
52804,2011-01-05,01:30,75626.933,2011
52805,2011-01-05,02:00,75485.884,2011
52806,2011-01-05,02:30,75424.547,2011
52807,2011-01-05,03:00,73532.055,2011
52808,2011-01-05,03:30,72179.653,2011
52809,2011-01-05,04:00,71197.202,2011
52810,2011-01-05,04:30,71102.703,2011
52811,2011-01-05,05:00,71163.426,2011
52812,2011-01-05,05:30,73030.877,2011
52813,2011-01-05,06:00,74705.014,2011
52814,2011-01-05,06:30,78172.818,2011
52815,2011-01-05,07:00,81193.573,2011
52816,2011-01-05,07:30,84638.543,2011
52817,2011-01-05,08:00,86695.092,2011
52818,2011-01-05,08:30,87723.433,2011
52819,2011-01-05,09:00,88084.998,2011
52820,2011-01-05,09:30,88302.271,2011
52821,2011-01-05,10:00,88335.55,2011
52822,2011-01-05,10:30,87899.188,2011
52823,2011-01-05,11:00,87665.328,2011
52824,2011-01-05,11:30,87936.455,2011
52825,2011-01-05,12:00,87920.482,2011
52826,2011-01-05,12:30,87157.649,2011
52827,2011-01-05,13:00,87598.779,2011
52828,2011-01-05,13:30,86528.435,2011
52829,2011-01-05,14:00,85892.05,2011
52830,2011-01-05,14:30,85694.229,2011
52831,2011-01-05,15:00,83981.275,2011
52832,2011-01-05,15:30,83207.599,2011
52833,2011-01-05,16:00,82816.554,2011
52834,2011-01-05,16:30,82703.925,2011
52835,2011-01-05,17:00,83241.136,2011
52836,2011-01-05,17:30,85204.655,2011
52837,2011-01-05,18:00,87582.505,2011
52838,2011-01-05,18:30,88575.649,2011
52839,2011-01-05,19:00,89672.797,2011
52840,2011-01-05,19:30,88093.169,2011
52841,2011-01-05,20:00,85901.499,2011
52842,2011-01-05,20:30,83328.883,2011
52843,2011-01-05,21:00,80561.172,2011
52844,2011-01-05,21:30,78395.71,2011
52845,2011-01-05,22:00,76036.347,2011
52846,2011-01-05,22:30,75946.205,2011
52847,2011-01-05,23:00,77335.621,2011
52848,2011-01-05,23:30,75884.705,2011
52849,2011-01-06,00:00,75384.548,2011
52850,2011-01-06,00:30,73488.55,2011
52851,2011-01-06,01:00,70888.767,2011
52852,2011-01-06,01:30,70666.445,2011
52853,2011-01-06,02:00,70398.528,2011
52854,2011-01-06,02:30,70098.772,2011
52855,2011-01-06,03:00,67916.063,2011
52856,2011-01-06,03:30,66585.692,2011
52857,2011-01-06,04:00,65117.132,2011
52858,2011-01-06,04:30,64863.286,2011
52859,2011-01-06,05:00,64265.403,2011
52860,2011-01-06,05:30,65773.281,2011
52861,2011-01-06,06:00,67319.277,2011
52862,2011-01-06,06:30,71201.173,2011
52863,2011-01-06,07:00,74291.194,2011
52864,2011-01-06,07:30,77819.797,2011
52865,2011-01-06,08:00,79538.957,2011
52866,2011-01-06,08:30,80082.149,2011
52867,2011-01-06,09:00,79535.379,2011
52868,2011-01-06,09:30,79571.929,2011
52869,2011-01-06,10:00,79611.852,2011
52870,2011-01-06,10:30,79867.738,2011
52871,2011-01-06,11:00,79793.628,2011
52872,2011-01-06,11:30,80264.908,2011
52873,2011-01-06,12:00,80511.417,2011
52874,2011-01-06,12:30,79333.408,2011
52875,2011-01-06,13:00,80138.795,2011
52876,2011-01-06,13:30,79264.083,2011
52877,2011-01-06,14:00,78761.375,2011
52878,2011-01-06,14:30,78479.574,2011
52879,2011-01-06,15:00,76926.946,2011
52880,2011-01-06,15:30,76222.705,2011
52881,2011-01-06,16:00,75525.202,2011
52882,2011-01-06,16:30,75243.74,2011
52883,2011-01-06,17:00,75601.825,2011
52884,2011-01-06,17:30,77466.577,2011
52885,2011-01-06,18:00,79373.405,2011
52886,2011-01-06,18:30,80082.551,2011
52887,2011-01-06,19:00,81216.139,2011
52888,2011-01-06,19:30,79907.336,2011
52889,2011-01-06,20:00,77353.036,2011
52890,2011-01-06,20:30,75227.284,2011
52891,2011-01-06,21:00,72790.833,2011
52892,2011-01-06,21:30,70689.904,2011
52893,2011-01-06,22:00,68604.911,2011
52894,2011-01-06,22:30,68419.28,2011
52895,2011-01-06,23:00,69880.71,2011
52896,2011-01-06,23:30,68846.195,2011
52897,2011-01-07,00:00,68243.288,2011
52898,2011-01-07,00:30,66440.032,2011
52899,2011-01-07,01:00,63917.907,2011
52900,2011-01-07,01:30,63647.523,2011
52901,2011-01-07,02:00,63148.067,2011
52902,2011-01-07,02:30,62738.372,2011
52903,2011-01-07,03:00,61086.272,2011
52904,2011-01-07,03:30,59546.9,2011
52905,2011-01-07,04:00,58533.108,2011
52906,2011-01-07,04:30,58007.719,2011
52907,2011-01-07,05:00,58361.966,2011
52908,2011-01-07,05:30,59603.999,2011
52909,2011-01-07,06:00,61229.517,2011
52910,2011-01-07,06:30,64813.638,2011
52911,2011-01-07,07:00,67970.47,2011
52912,2011-01-07,07:30,71456.273,2011
52913,2011-01-07,08:00,73524.105,2011
52914,2011-01-07,08:30,74273.965,2011
52915,2011-01-07,09:00,73827.05,2011
52916,2011-01-07,09:30,73919.002,2011
52917,2011-01-07,10:00,73813.891,2011
52918,2011-01-07,10:30,73770.598,2011
52919,2011-01-07,11:00,73717.821,2011
52920,2011-01-07,11:30,73869.965,2011
52921,2011-01-07,12:00,74047.694,2011
52922,2011-01-07,12:30,73316.978,2011
52923,2011-01-07,13:00,73523.701,2011
52924,2011-01-07,13:30,72421.834,2011
52925,2011-01-07,14:00,71599.091,2011
