Nobs,jour,consommation,Année
1462,2012-01-01,2471592.0,2012
1463,2012-01-02,2912815.0,2012
1464,2012-01-03,3252581.0,2012
1465,2012-01-04,3265403.0,2012
1466,2012-01-05,3319555.0,2012
1467,2012-01-06,3314845.0,2012
1468,2012-01-07,3031707.0,2012
1469,2012-01-08,2833583.0,2012
1470,2012-01-09,3227375.0,2012
1471,2012-01-10,3290786.0,2012
1472,2012-01-11,3316060.0,2012
1473,2012-01-12,3430370.0,2012
1474,2012-01-13,3413680.0,2012
1475,2012-01-14,3254178.0,2012
1476,2012-01-15,3264940.0,2012
1477,2012-01-16,3668048.0,2012
1478,2012-01-17,3776565.0,2012
1479,2012-01-18,3770913.0,2012
1480,2012-01-19,3505306.0,2012
1481,2012-01-20,3346416.0,2012
1482,2012-01-21,2958923.0,2012
1483,2012-01-22,2765237.0,2012
1484,2012-01-23,3183694.0,2012
1485,2012-01-24,3309320.0,2012
1486,2012-01-25,3274679.0,2012
1487,2012-01-26,3285358.0,2012
1488,2012-01-27,3320659.0,2012
1489,2012-01-28,3129473.0,2012
1490,2012-01-29,3150764.0,2012
1491,2012-01-30,3699865.0,2012
1492,2012-01-31,3828386.0,2012
1493,2012-02-01,4011836.0,2012
1494,2012-02-02,4201153.0,2012
1495,2012-02-03,4283900.0,2012
1496,2012-02-04,4086357.0,2012
1497,2012-02-05,3985046.0,2012
1498,2012-02-06,4231291.0,2012
1499,2012-02-07,4376461.0,2012
1500,2012-02-08,4516641.0,2012
1501,2012-02-09,4457671.0,2012
1502,2012-02-10,4332607.0,2012
1503,2012-02-11,4221657.0,2012
1504,2012-02-12,4089692.0,2012
1505,2012-02-13,4164993.0,2012
1506,2012-02-14,3959058.0,2012
1507,2012-02-15,3799773.0,2012
1508,2012-02-16,3628424.0,2012
1509,2012-02-17,3536376.0,2012
1510,2012-02-18,3162307.0,2012
1511,2012-02-19,3048656.0,2012
1512,2012-02-20,3511915.0,2012
1513,2012-02-21,3612370.0,2012
1514,2012-02-22,3554128.0,2012
1515,2012-02-23,3433738.0,2012
1516,2012-02-24,3209267.0,2012
1517,2012-02-25,2857923.0,2012
1518,2012-02-26,2698009.0,2012
1519,2012-02-27,3159420.0,2012
1520,2012-02-28,3176612.0,2012
1521,2012-02-29,3056789.0,2012
1522,2012-03-01,3011780.0,2012
1523,2012-03-02,2957561.0,2012
1524,2012-03-03,2694223.0,2012
1525,2012-03-04,2615794.0,2012
1526,2012-03-05,3186477.0,2012
1527,2012-03-06,3310971.0,2012
1528,2012-03-07,3350906.0,2012
1529,2012-03-08,3245355.0,2012
1530,2012-03-09,3209508.0,2012
1531,2012-03-10,2832846.0,2012
1532,2012-03-11,2611323.0,2012
1533,2012-03-12,2896607.0,2012
1534,2012-03-13,2886519.0,2012
1535,2012-03-14,2834283.0,2012
1536,2012-03-15,2797525.0,2012
1537,2012-03-16,2721186.0,2012
1538,2012-03-17,2513268.0,2012
1539,2012-03-18,2508676.0,2012
1540,2012-03-19,2952860.0,2012
1541,2012-03-20,3043934.0,2012
1542,2012-03-21,2979370.0,2012
1543,2012-03-22,2828509.0,2012
1544,2012-03-23,2686983.0,2012
1545,2012-03-24,2333077.0,2012
1546,2012-03-25,2158072.0,2012
1547,2012-03-26,2480168.0,2012
1548,2012-03-27,2523345.0,2012
1549,2012-03-28,2507090.0,2012
1550,2012-03-29,2491732.0,2012
1551,2012-03-30,2462616.0,2012
1552,2012-03-31,2258513.0,2012
1553,2012-04-01,2185732.0,2012
1554,2012-04-02,2587528.0,2012
1555,2012-04-03,2659273.0,2012
1556,2012-04-04,2742055.0,2012
1557,2012-04-05,2774210.0,2012
1558,2012-04-06,2700327.0,2012
1559,2012-04-07,2474956.0,2012
1560,2012-04-08,2353707.0,2012
1561,2012-04-09,2383133.0,2012
1562,2012-04-10,2784198.0,2012
1563,2012-04-11,2847649.0,2012
1564,2012-04-12,2825048.0,2012
1565,2012-04-13,2784017.0,2012
1566,2012-04-14,2524484.0,2012
1567,2012-04-15,2488957.0,2012
1568,2012-04-16,2959052.0,2012
1569,2012-04-17,3041869.0,2012
1570,2012-04-18,2978090.0,2012
1571,2012-04-19,2918951.0,2012
1572,2012-04-20,2859699.0,2012
1573,2012-04-21,2549559.0,2012
1574,2012-04-22,2409148.0,2012
1575,2012-04-23,2848812.0,2012
1576,2012-04-24,2904958.0,2012
1577,2012-04-25,2897343.0,2012
1578,2012-04-26,2777831.0,2012
1579,2012-04-27,2676671.0,2012
1580,2012-04-28,2379924.0,2012
1581,2012-04-29,2189722.0,2012
1582,2012-04-30,2392479.0,2012
1583,2012-05-01,2114230.0,2012
1584,2012-05-02,2501632.0,2012
1585,2012-05-03,2503557.0,2012
1586,2012-05-04,2462717.0,2012
1587,2012-05-05,2227860.0,2012
1588,2012-05-06,2111593.0,2012
1589,2012-05-07,2314612.0,2012
1590,2012-05-08,2125009.0,2012
1591,2012-05-09,2413753.0,2012
1592,2012-05-10,2402243.0,2012
1593,2012-05-11,2360525.0,2012
1594,2012-05-12,2081407.0,2012
1595,2012-05-13,1954270.0,2012
1596,2012-05-14,2327423.0,2012
1597,2012-05-15,2440167.0,2012
1598,2012-05-16,2487467.0,2012
1599,2012-05-17,2149280.0,2012
1600,2012-05-18,2243684.0,2012
1601,2012-05-19,2109566.0,2012
1602,2012-05-20,2016267.0,2012
